DRCOV VERSION: 2
DRCOV FLAVOR: frida
Module Table: version 2, count 365
Columns: id, base, end, entry, checksum, timestamp, path
  0, 0x00005b6a9eb000, 0x00005b6a9ef000, 0x00000000000000, 0x000000, 0x000000, /system/bin/app_process64
  1, 0x000070187d8000, 0x00007018811000, 0x00000000000000, 0x000000, 0x000000, /system/bin/linker64
  2, 0x0000700e602000, 0x0000700e7fe000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libandroid_runtime.so
  3, 0x0000700e35b000, 0x0000700e3f2000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbinder.so
  4, 0x0000700a640000, 0x0000700a652000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcutils.so
  5, 0x00007000943000, 0x000070009eb000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libhidlbase.so
  6, 0x00006ff996b000, 0x00006ff997b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/liblog.so
  7, 0x00007013101000, 0x00007013127000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.art/lib64/libnativeloader.so
  8, 0x000070034d6000, 0x000070034df000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.art/lib64/libsigchain.so
  9, 0x0000700aa12000, 0x0000700aa2d000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libutils.so
 10, 0x00007003481000, 0x000070034bf000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libwilhelm.so
 11, 0x00006ffd949000, 0x00006ffd9f7000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libc++.so
 12, 0x0000700ae08000, 0x0000700b426000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.runtime/lib64/bionic/libc.so
 13, 0x00007003402000, 0x00007003439000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.runtime/lib64/bionic/libm.so
 14, 0x0000700654c000, 0x00007006551000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.runtime/lib64/bionic/libdl.so
 15, 0x00007016b84000, 0x00007016bbf000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbase.so
 16, 0x000070060c1000, 0x000070061b1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libharfbuzz_ng.so
 17, 0x00006ffce00000, 0x00006ffd835000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libhwui.so
 18, 0x00007003989000, 0x000070039bc000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libminikin.so
 19, 0x00007006709000, 0x00007006722000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libz.so
 20, 0x0000700ac20000, 0x0000700ac30000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/audioclient-types-aidl-cpp.so
 21, 0x00006ff63c2000, 0x00006ff63ff000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/audioflinger-aidl-cpp.so
 22, 0x00006ff644b000, 0x00006ff644f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/av-types-aidl-cpp.so
 23, 0x00006ffb104000, 0x00006ffb134000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.camera.device@3.2.so
 24, 0x0000700e481000, 0x0000700e488000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.i18n/lib64/libandroidicu.so
 25, 0x0000700b5e5000, 0x0000700b5f3000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbpf_android.so
 26, 0x000070036c7000, 0x000070036d5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnetdbpf.so
 27, 0x0000700659b000, 0x000070065af000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnetdutils.so
 28, 0x000070008e2000, 0x000070008e8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmemtrack.so
 29, 0x0000700ad60000, 0x0000700ade3000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libandroidfw.so
 30, 0x0000700b4eb000, 0x0000700b4f8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libappfuse.so
 31, 0x00007002a5c000, 0x00007002b8a000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcrypto.so
 32, 0x00006ffc254000, 0x00006ffc25f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libdebuggerd_client.so
 33, 0x0000700b471000, 0x0000700b4bb000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libui.so
 34, 0x00006ff64a2000, 0x00006ff64b1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libgraphicsenv.so
 35, 0x00006ff9a96000, 0x00006ff9bd8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libgui.so
 36, 0x00006ff6644000, 0x00006ff6678000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmediandk.so
 37, 0x000070033cc000, 0x000070033de000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libpermission.so
 38, 0x00007003c17000, 0x00007003c2f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libsensor.so
 39, 0x00007013144000, 0x000070131a4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libinput.so
 40, 0x00007003a66000, 0x00007003ae8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcamera_client.so
 41, 0x0000700646b000, 0x00007006478000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcamera_metadata.so
 42, 0x00007015629000, 0x0000701573f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libsqlite.so
 43, 0x00007016b00000, 0x00007016b39000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libEGL.so
 44, 0x00007013048000, 0x00007013051000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libGLESv1_CM.so
 45, 0x00006ff61c5000, 0x00006ff61df000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libGLESv2.so
 46, 0x000070039db000, 0x000070039f5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libGLESv3.so
 47, 0x0000700e2cb000, 0x0000700e2f4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libincfs.so
 48, 0x00007006951000, 0x00007006963000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libdataloader.so
 49, 0x00006ff67c7000, 0x00006ff67f0000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libvulkan.so
 50, 0x00007016b47000, 0x00007016b4b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libETC1.so
 51, 0x00006ffb32c000, 0x00006ffb383000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libjpeg.so
 52, 0x00007003365000, 0x00007003368000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libhardware.so
 53, 0x000070130a5000, 0x000070130ad000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libhardware_legacy.so
 54, 0x00007000886000, 0x000070008a1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libselinux.so
 55, 0x00007006749000, 0x000070067e5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmedia.so
 56, 0x00006ffaf18000, 0x00006ffaf36000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmedia_helper.so
 57, 0x000070130d2000, 0x000070130e2000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmediametrics.so
 58, 0x00007003c89000, 0x00007003c9e000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmeminfo.so
 59, 0x00007006602000, 0x000070066bf000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libaudioclient.so
 60, 0x00007003246000, 0x0000700327b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libaudiofoundation.so
 61, 0x00007016ad5000, 0x00007016ae8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libaudiopolicy.so
 62, 0x00007016aaf000, 0x00007016ab4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libusbhost.so
 63, 0x00007000a28000, 0x00007000dd5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libpdfium.so
 64, 0x00007003845000, 0x00007003863000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libimg_utils.so
 65, 0x0000700aa71000, 0x0000700aa7a000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnetd_client.so
 66, 0x0000700ac80000, 0x0000700acd1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libprocessgroup.so
 67, 0x00006ffccbc000, 0x00006ffccc0000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnativebridge_lazy.so
 68, 0x000070064c2000, 0x000070064c6000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnativeloader_lazy.so
 69, 0x0000700648c000, 0x000070064bc000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmemunreachable.so
 70, 0x0000700e515000, 0x0000700e5a5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libvintf.so
 71, 0x00006ffb0ed000, 0x00006ffb100000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnativedisplay.so
 72, 0x00006ffaf51000, 0x00006ffaf58000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnativewindow.so
 73, 0x00006ff679f000, 0x00006ff67a2000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.runtime/lib64/bionic/libdl_android.so
 74, 0x00006ff98e5000, 0x00006ff98f3000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libtimeinstate.so
 75, 0x0000700b54c000, 0x0000700b551000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/server_configurable_flags.so
 76, 0x0000700e457000, 0x0000700e45b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libvndksupport.so
 77, 0x0000700a874000, 0x0000700a87a000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.art/lib64/libnativebridge.so
 78, 0x0000700e4c3000, 0x0000700e500000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.art/lib64/libbase.so
 79, 0x00007003cd3000, 0x00007003d79000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.art/lib64/libc++.so
 80, 0x00007003388000, 0x00007003393000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/framework-permission-aidl-cpp.so
 81, 0x0000700a955000, 0x0000700a965000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmedia_codeclist.so
 82, 0x000070168c8000, 0x000070168ee000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libaudioclient_aidl_conversion.so
 83, 0x00006ff9911000, 0x00006ff9916000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libaudiomanager.so
 84, 0x00007003967000, 0x0000700397b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libdatasource.so
 85, 0x00006ff6838000, 0x00006ff69f5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright.so
 86, 0x00007016a49000, 0x00007016a7f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_foundation.so
 87, 0x0000700a806000, 0x0000700a80a000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_http_support.so
 88, 0x00007003646000, 0x00007003654000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.i18n/lib64/libicu.so
 89, 0x000070066c8000, 0x00007006700000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libpng.so
 90, 0x00006ffcd41000, 0x00006ffce00000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libdng_sdk.so
 91, 0x00007003b81000, 0x00007003b99000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libpiex.so
 92, 0x00007006055000, 0x00007006077000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libexpat.so
 93, 0x00007003bcf000, 0x00007003be4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbinder_ndk.so
 94, 0x00007003625000, 0x0000700362f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libheif.so
 95, 0x00007003542000, 0x000070035b8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libprotobuf-cpp-lite.so
 96, 0x00006ffb015000, 0x00006ffb0a8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libft2.so
 97, 0x00006ff62e4000, 0x00006ff62e8000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libsync.so
 98, 0x00006ff625b000, 0x00006ff625e000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/audio_common-aidl-cpp.so
 99, 0x0000700a6ab000, 0x0000700a6b9000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/effect-aidl-cpp.so
100, 0x00007003c51000, 0x00007003c55000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/shared-file-region-aidl-cpp.so
101, 0x00007003748000, 0x0000700374b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.camera.common@1.0.so
102, 0x0000700371b000, 0x0000700371e000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.common@1.0.so
103, 0x0000700b504000, 0x0000700b53f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbase.so
104, 0x00007015441000, 0x00007015600000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.i18n/lib64/libicuuc.so
105, 0x0000701273d000, 0x000070129cc000, 0x00000000000000, 0x000000, 0x000000, /apex/com.android.i18n/lib64/libicui18n.so
106, 0x00006ff6543000, 0x00006ff65f1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libc++.so
107, 0x0000700a757000, 0x0000700a760000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbpf.so
108, 0x00006ff98a2000, 0x00006ff98b5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.memtrack@1.0.so
109, 0x0000700a718000, 0x0000700a721000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.memtrack-V1-ndk_platform.so
110, 0x000070032c1000, 0x000070032c4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libprocinfo.so
111, 0x00006ffb1a3000, 0x00006ffb1b7000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.allocator@2.0.so
112, 0x0000700378f000, 0x000070037a3000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.allocator@3.0.so
113, 0x00007003b14000, 0x00007003b27000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.allocator@4.0.so
114, 0x00006ffaee7000, 0x00006ffaeee000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.common-V2-ndk_platform.so
115, 0x00006ff9877000, 0x00006ff987a000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.common@1.2.so
116, 0x00007015782000, 0x00007015798000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.mapper@2.0.so
117, 0x00007003b43000, 0x00007003b5a000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.mapper@2.1.so
118, 0x00007016a1e000, 0x00007016a36000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.mapper@3.0.so
119, 0x0000700a8d4000, 0x0000700a8f2000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.mapper@4.0.so
120, 0x00007003328000, 0x0000700333c000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libgralloctypes.so
121, 0x00006ff9a44000, 0x00006ff9a75000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.bufferqueue@1.0.so
122, 0x0000700e404000, 0x0000700e430000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.bufferqueue@2.0.so
123, 0x00006ffb273000, 0x00006ffb276000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.graphics.common@1.1.so
124, 0x000070069ef000, 0x000070069f4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hidl.token@1.0-utils.so
125, 0x00006ff6312000, 0x00006ff6330000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.frameworks.bufferhub@1.0.so
126, 0x0000700ab89000, 0x0000700ab98000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbufferhub.so
127, 0x00006ffb222000, 0x00006ffb23e000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbufferhubqueue.so
128, 0x0000700e5d5000, 0x0000700e5fb000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libpdx_default_transport.so
129, 0x00006ff611a000, 0x00006ff611e000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libandroid_runtime_lazy.so
130, 0x00006ffd8c5000, 0x00006ffd8ff000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmediadrm.so
131, 0x0000700ab44000, 0x0000700ab73000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmedia_omx.so
132, 0x00006ffc394000, 0x00006ffc398000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmedia_jni_utils.so
133, 0x00007003457000, 0x0000700345b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmediandk_utils.so
134, 0x00006ff9a07000, 0x00006ff9a2e000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libbacktrace.so
135, 0x00007003a16000, 0x00007003a32000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.configstore@1.0.so
136, 0x000070037d4000, 0x000070037d7000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.configstore-utils.so
137, 0x0000700b58d000, 0x0000700b5a2000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libSurfaceFlingerProp.so
138, 0x00007000865000, 0x00007000878000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libziparchive.so
139, 0x00006ffcc5d000, 0x00006ffcc79000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.system.suspend@1.0.so
140, 0x00006ffc2b0000, 0x00006ffc303000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libpcre2.so
141, 0x0000700aa91000, 0x0000700aa94000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libpackagelistparser.so
142, 0x00006ff6236000, 0x00006ff6240000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/mediametricsservice-aidl-cpp.so
143, 0x00006ffcd04000, 0x00006ffcd3d000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/audiopolicy-aidl-cpp.so
144, 0x0000701691d000, 0x00007016924000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/audiopolicy-types-aidl-cpp.so
145, 0x00007003681000, 0x0000700368b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/capture_state_listener-aidl-cpp.so
146, 0x00006ff629f000, 0x00006ff62c0000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libaudioutils.so
147, 0x00006ff6165000, 0x00006ff61a6000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmediautils.so
148, 0x00006ff6405000, 0x00006ff6440000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libnblog.so
149, 0x00007003df6000, 0x00007003dfa000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libshmemcompat.so
150, 0x0000700ac47000, 0x0000700ac53000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libvibrator.so
151, 0x00007006935000, 0x0000700693a000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcgrouprc.so
152, 0x00006ff99de000, 0x00006ff99ec000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libhidl-gen-utils.so
153, 0x00006ffae8b000, 0x00006ffaea7000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libtinyxml2.so
154, 0x0000700a982000, 0x0000700a9e1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.media.omx@1.0.so
155, 0x000070035c2000, 0x000070035f2000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_framecapture_utils.so
156, 0x00007016888000, 0x0000701688b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcodec2.so
157, 0x00007003894000, 0x00007003939000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcodec2_vndk.so
158, 0x0000700382a000, 0x00007003830000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmedia_omx_client.so
159, 0x00007016943000, 0x000070169e2000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libsfplugin_ccodec.so
160, 0x00007012697000, 0x000070126e5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libsfplugin_ccodec_utils.so
161, 0x0000700e32a000, 0x0000700e333000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_codecbase.so
162, 0x000070068cf000, 0x000070068d5000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_omx_utils.so
163, 0x00006ff64d6000, 0x00006ff651c000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libRScpp.so
164, 0x0000700a6ce000, 0x0000700a6d1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libhidlallocatorutils.so
165, 0x00006ffb2e8000, 0x00006ffb2ef000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libhidlmemory.so
166, 0x0000700091c000, 0x0000700092f000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hidl.allocator@1.0.so
167, 0x00006ffb161000, 0x00006ffb177000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.cas.native@1.0.so
168, 0x00006ff6720000, 0x00006ff6776000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.drm@1.0.so
169, 0x0000700ad23000, 0x0000700ad28000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.common-V2-ndk_platform.so
170, 0x0000700a8a4000, 0x0000700a8a7000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.media@1.0.so
171, 0x0000700608b000, 0x000070060a0000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hidl.token@1.0.so
172, 0x00006ffd886000, 0x00006ffd8a4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libmediadrmmetrics_lite.so
173, 0x00006ffccc5000, 0x00006ffccff000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.drm@1.1.so
174, 0x00006ff669d000, 0x00006ff66f4000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.drm@1.2.so
175, 0x000070157c7000, 0x000070157ea000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.drm@1.3.so
176, 0x0000700aad4000, 0x0000700ab23000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.drm@1.4.so
177, 0x00007006811000, 0x0000700689b000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libunwindstack.so
178, 0x0000700a7d5000, 0x0000700a7ed000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.configstore@1.1.so
179, 0x0000701684e000, 0x00007016853000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libspeexresampler.so
180, 0x00007003293000, 0x00007003297000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libshmemutil.so
181, 0x00006ffb289000, 0x00006ffb2b9000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.media.bufferpool@2.0.so
182, 0x0000700a913000, 0x0000700a917000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libion.so
183, 0x00007012663000, 0x00007012678000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libdmabufheap.so
184, 0x0000700a79d000, 0x0000700a7a1000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libfmq.so
185, 0x00006ffc34a000, 0x00006ffc376000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_bufferpool@2.0.1.so
186, 0x00006ffaf80000, 0x00006ffaffc000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hardware.media.c2@1.0.so
187, 0x0000700e293000, 0x0000700e2be000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libcodec2_client.so
188, 0x00006ffc3da000, 0x00006ffc3f0000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_bufferqueue_helper.so
189, 0x00006ff6374000, 0x00006ff63bd000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_omx.so
190, 0x00006ff660c000, 0x00006ff6624000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/libstagefright_xmlparser.so
191, 0x00006ff9992000, 0x00006ff99b0000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hidl.memory@1.0.so
192, 0x00006ffb1e8000, 0x00006ffb1fb000, 0x00000000000000, 0x000000, 0x000000, /system/lib64/android.hidl.memory.token@1.0.so
